discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
98,26,0,1,0.06,24.0,24.0,0.25,0
99,33,0,1,0.0675,31.0,31.0,0.25,0
100,38,0,1,0.09,36.0,36.0,0.0,0
101,12,0,1,0.025,10.0,10.0,0.0,0
102,28,0,1,0.065,26.0,26.0,0.75,0
103,21,0,1,0.0475,19.0,19.0,0.0,0
104,22,0,1,0.0475,20.0,20.0,0.5,0
105,45,0,1,0.1075,43.0,43.0,0.5,0
106,49,0,1,0.1175,47.0,47.0,0.5,0
107,61,0,0,0.1475,60.0,60.0,0.75,0
108,57,0,0,0.14,56.0,56.0,0.75,0
109,18,0,1,0.04,16.0,16.0,0.25,0
110,56,0,0,0.1375,55.0,55.0,0.75,0
111,32,0,1,0.075,30.0,30.0,0.5,0
112,14,0,1,0.03,12.0,12.0,0.25,0
113,40,0,0,0.0975,39.0,39.0,0.75,0
114,48,0,0,0.11,47.0,47.0,0.75,0
115,49,0,0,0.12,48.0,48.0,0.75,0
116,28,0,0,0.0675,27.0,27.0,0.75,0
117,11,0,1,0.0225,9.0,9.0,0.0,0
118,18,0,1,0.0375,16.0,16.0,0.5,0
119,46,0,0,0.1125,45.0,45.0,0.75,0
120,10,0,1,0.02,8.0,8.0,0.0,0
121,63,0,0,0.155,62.0,62.0,0.75,0
122,11,0,1,0.0225,9.0,9.0,0.0,0
123,55,0,0,0.135,54.0,54.0,0.75,0
124,41,0,1,0.0925,39.0,39.0,0.5,0
125,22,0,1,0.05,20.0,20.0,0.25,0
126,55,0,0,0.135,54.0,54.0,0.75,0
127,12,0,1,0.025,10.0,10.0,0.0,0
128,52,0,0,0.1275,51.0,51.0,0.75,0
129,17,0,1,0.0375,15.0,15.0,0.25,0
130,35,1,0,0.0825,35.0,35.0,1.0,1
131,50,0,0,0.1225,49.0,49.0,0.75,0
132,44,1,0,0.11,44.0,44.0,1.0,1
133,4,0,1,0.005,2.0,2.0,0.0,0
134,23,0,1,0.0525,21.0,21.0,0.5,0
135,31,0,1,0.0725,29.0,29.0,0.25,0
136,7,0,1,0.0125,5.0,5.0,0.0,0
137,18,0,1,0.04,16.0,16.0,0.25,0
138,12,0,1,0.025,10.0,10.0,0.0,0
139,50,0,1,0.12,48.0,48.0,0.75,0
140,9,0,1,0.0175,7.0,7.0,0.0,0
141,30,0,1,0.07,28.0,28.0,0.25,0
142,6,0,1,0.01,4.0,4.0,0.0,0
143,34,1,0,0.085,34.0,34.0,1.0,1
144,11,0,1,0.0225,9.0,9.0,0.0,0
145,4,0,1,0.005,2.0,2.0,0.0,0
146,3,0,1,0.0025,1.0,1.0,0.0,0
147,27,0,1,0.0625,25.0,25.0,0.25,0
148,50,1,0,0.125,50.0,50.0,1.0,1
149,49,0,0,0.11,48.0,48.0,0.75,0
150,30,0,1,0.07,28.0,28.0,0.5,0
151,11,0,1,0.02,9.0,9.0,0.25,0
152,47,0,0,0.115,46.0,46.0,0.75,0
153,27,0,1,0.0625,25.0,25.0,0.25,0
154,49,0,0,0.12,48.0,48.0,0.75,0
155,35,0,1,0.0825,33.0,33.0,0.5,0
156,35,0,1,0.0825,33.0,33.0,0.5,0
157,53,0,0,0.1175,52.0,52.0,0.75,0
158,46,0,0,0.11,45.0,45.0,0.75,0
159,28,0,1,0.065,26.0,26.0,0.25,0
160,6,0,1,0.01,4.0,4.0,0.0,0
161,10,0,1,0.02,8.0,8.0,0.0,0
162,50,1,0,0.1225,50.0,50.0,1.0,1
163,44,0,0,0.1075,43.0,43.0,0.75,0
164,36,0,0,0.0875,35.0,35.0,0.75,0
